County.Code,County.Name,Test.Id,Test.Name,Grade,Students.Tested,Mean.Scale.Score,Count.Test.Grade,Pct.Test.Grade,Population,per.capita.income,median.household.income,median.family.income,Spend,ADAttend,Spend.Per.ADA
1,Alameda,21,CST Chemistry,10,6241,356.2,136209,0.045819292,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,20,CST Biology,10,6824,346.1,228138,0.02991172,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,12,CST Integrated Math 2,10,117,309.4,1432,0.081703911,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,10,CST Integrated Math 1,10,67,310.6,5965,0.011232188,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",10,15024,370.4,451374,0.033285036,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,10,CST Integrated Math 1,11,43,284.8,6318,0.006805951,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,12,CST Integrated Math 2,11,81,314.4,3364,0.024078478,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,20,CST Biology,11,3342,370.5,99776,0.033495029,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,21,CST Chemistry,11,4805,328.9,133804,0.035910735,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,24,CST Integrated/Coordinated Science 1,11,329,308.3,7963,0.041316087,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,22,CST Earth Science,11,633,334,42331,0.01495358,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,23,CST Physics,11,2293,365,56726,0.040422381,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,18,CST World History,11,566,266.1,16163,0.035018252,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,11,CST Geometry,11,2217,270.1,78308,0.028311284,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,19,CST U.S. History,11,14942,349.6,447386,0.033398452,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,15,CST Summative High School Mathematics,11,5533,367.1,124304,0.044511842,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,13,CST Algebra II,11,4609,287.9,122079,0.037754241,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,7,CST English-Language Arts,11,14922,348.4,440115,0.033904775,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,9,CST Algebra I,11,1043,274.2,49868,0.020915216,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,13,CST Algebra II,13,12137,335.8,286737,0.042327987,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,9,CST Algebra I,13,23191,337.4,711705,0.03258513,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,10,CST Integrated Math 1,13,232,299.1,13486,0.017203025,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,15,CST Summative High School Mathematics,13,6897,375.2,149987,0.045983985,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,11,CST Geometry,13,15791,328.7,407658,0.038735901,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,28,CST General Mathematics,13,2616,303.7,190615,0.013723999,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,23,CST Physics,13,3495,349.6,80833,0.043237292,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,18,CST World History,13,16158,347.5,474255,0.034070279,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,24,CST Integrated/Coordinated Science 1,13,1631,314.5,46386,0.035161471,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,25,CST Integrated/Coordinated Science 2,13,124,323,3742,0.03313736,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,22,CST Earth Science,13,2481,330.2,206991,0.011986028,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,21,CST Chemistry,13,11232,344.7,275452,0.040776614,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,20,CST Biology,13,19639,365.1,556893,0.035265302,1494876,34937,70821,87012,1814932885,193906,9360
1,Alameda,12,CST Integrated Math 2,13,207,310.5,5102,0.040572325,1494876,34937,70821,87012,1814932885,193906,9360
2,Alpine,8,CST Mathematics,5,12,372.5,432775,2.7728E-05,1167,29576,59018,81750,2552645,78,32705
2,Alpine,7,CST English-Language Arts,5,11,377.8,429498,2.56113E-05,1167,29576,59018,81750,2552645,78,32705
2,Alpine,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",5,11,378.5,431142,2.55136E-05,1167,29576,59018,81750,2552645,78,32705
2,Alpine,7,CST English-Language Arts,8,11,363.9,435491,2.52588E-05,1167,29576,59018,81750,2552645,78,32705
2,Alpine,29,CST History - Social Science Grade 8,8,11,336.2,459125,2.39586E-05,1167,29576,59018,81750,2552645,78,32705
2,Alpine,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",8,11,390.9,436071,2.52253E-05,1167,29576,59018,81750,2552645,78,32705
3,Amador,7,CST English-Language Arts,2,298,343.8,464896,0.000641004,38244,28030,56180,69521,24267562,3512,6909
3,Amador,8,CST Mathematics,2,298,372,464515,0.000641529,38244,28030,56180,69521,24267562,3512,6909
3,Amador,8,CST Mathematics,3,313,400.1,443961,0.000705017,38244,28030,56180,69521,24267562,3512,6909
3,Amador,7,CST English-Language Arts,3,311,346.6,441572,0.000704302,38244,28030,56180,69521,24267562,3512,6909
3,Amador,7,CST English-Language Arts,4,298,371.3,428906,0.000694791,38244,28030,56180,69521,24267562,3512,6909
3,Amador,8,CST Mathematics,4,296,377.3,433012,0.000683584,38244,28030,56180,69521,24267562,3512,6909
3,Amador,8,CST Mathematics,5,258,361.3,432775,0.000596153,38244,28030,56180,69521,24267562,3512,6909
3,Amador,7,CST English-Language Arts,5,256,358.7,429498,0.000596045,38244,28030,56180,69521,24267562,3512,6909
3,Amador,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",5,257,366,431142,0.000596091,38244,28030,56180,69521,24267562,3512,6909
3,Amador,7,CST English-Language Arts,6,304,358.1,434374,0.000699858,38244,28030,56180,69521,24267562,3512,6909
3,Amador,8,CST Mathematics,6,305,351.2,436563,0.000698639,38244,28030,56180,69521,24267562,3512,6909
3,Amador,8,CST Mathematics,7,284,368.3,393811,0.000721158,38244,28030,56180,69521,24267562,3512,6909
3,Amador,7,CST English-Language Arts,7,287,377.2,431187,0.000665604,38244,28030,56180,69521,24267562,3512,6909
3,Amador,9,CST Algebra I,8,49,390.6,276039,0.000177511,38244,28030,56180,69521,24267562,3512,6909
3,Amador,7,CST English-Language Arts,8,296,362.5,435491,0.000679693,38244,28030,56180,69521,24267562,3512,6909
3,Amador,29,CST History - Social Science Grade 8,8,314,349.2,459125,0.00068391,38244,28030,56180,69521,24267562,3512,6909
3,Amador,28,CST General Mathematics,8,264,332,145549,0.001813822,38244,28030,56180,69521,24267562,3512,6909
3,Amador,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",8,297,398,436071,0.000681082,38244,28030,56180,69521,24267562,3512,6909
3,Amador,11,CST Geometry,9,51,373.2,144063,0.000354012,38244,28030,56180,69521,24267562,3512,6909
3,Amador,28,CST General Mathematics,9,15,264.9,45052,0.000332949,38244,28030,56180,69521,24267562,3512,6909
3,Amador,20,CST Biology,9,79,381.8,228962,0.000345035,38244,28030,56180,69521,24267562,3512,6909
3,Amador,22,CST Earth Science,9,233,347.3,133961,0.001739312,38244,28030,56180,69521,24267562,3512,6909
3,Amador,7,CST English-Language Arts,9,313,364.3,463236,0.000675682,38244,28030,56180,69521,24267562,3512,6909
3,Amador,9,CST Algebra I,9,249,301,243349,0.001023222,38244,28030,56180,69521,24267562,3512,6909
3,Amador,13,CST Algebra II,10,58,364,131448,0.000441239,38244,28030,56180,69521,24267562,3512,6909
3,Amador,9,CST Algebra I,10,150,295.1,104567,0.001434487,38244,28030,56180,69521,24267562,3512,6909
3,Amador,7,CST English-Language Arts,10,352,351.8,455362,0.000773011,38244,28030,56180,69521,24267562,3512,6909
3,Amador,22,CST Earth Science,10,34,340.8,30649,0.001109335,38244,28030,56180,69521,24267562,3512,6909
3,Amador,20,CST Biology,10,224,345.1,228138,0.000981862,38244,28030,56180,69521,24267562,3512,6909
3,Amador,18,CST World History,10,346,334,422893,0.000818174,38244,28030,56180,69521,24267562,3512,6909
3,Amador,11,CST Geometry,10,110,325.6,156167,0.000704374,38244,28030,56180,69521,24267562,3512,6909
3,Amador,21,CST Chemistry,10,65,361.5,136209,0.000477208,38244,28030,56180,69521,24267562,3512,6909
3,Amador,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",10,339,364.3,451374,0.00075104,38244,28030,56180,69521,24267562,3512,6909
